,name,ra,dec
0,jupiter,2d46m02.81290679s,-0d09m09.36909523s
1,mars,65d31m27.01294837s,24d24m28.74226639s
2,venus,314d44m48.26694874s,-18d44m11.12126823s
3,saturn,326d04m53.03186115s,-14d54m54.61764595s
4,neptune,353d50m04.30486612s,-3d57m05.66396928s
5,moon,177d29m31.82811204s,4d54m49.07803244s
